Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0.05922479,-0.052387312,0.0057460265,0.07518083,0.028968133,0.017927913,0.010009392,0.05562188,0.027050328,0.018643111
0.059205137,-0.017785128,-0.085141875,0.006141077,0.022908697,0.07169101,-0.10841433,0.08206491,0.03557895,-0.023202112
0.059200015,-0.06120253,0.006362946,0.019521855,0.019256203,0.03832585,-0.099343926,-0.05478844,0.029533815,0.0008051998
0.059189662,0.032388262,0.024544118,-0.026894225,0.0060036974,-0.06746547,-0.045941927,-0.005698319,0.04075521,0.050582256
0.05919567,0.071576506,-0.028899126,0.08776312,-0.033089682,0.023289887,0.013904523,0.044143073,-0.017195798,0.07078257
0.059184976,-0.051149294,-0.083649546,0.08198492,-0.023236377,0.022069661,-0.07264664,0.035749193,-0.07024856,-0.0026154951
0.059187695,-0.10708969,-0.04633159,-0.024321288,-0.0038871632,-0.026500314,0.09079079,0.12475757,0.040520884,-0.083853915
0.059172098,-0.011413643,0.0112840785,-0.046534933,-0.023212474,0.013507242,-0.07845849,0.008599104,-0.018482292,0.08894443
0.059170797,0.0026130448,0.09019991,-0.025936259,0.026614413,0.041464116,-0.09012617,0.014474137,-0.11106519,-0.030865412
0.059185993,0.08041392,0.051855605,-0.06952811,-0.07434463,-0.02600144,0.053238325,-0.00977781,0.015998192,-0.045128506
0.059164863,-0.008248398,-0.041625135,-0.08697745,0.12229859,0.06356314,-0.03258779,0.079718456,-0.04714366,0.096793495
0.059167612,-0.06346524,-0.021605467,0.06556597,-0.08923737,0.052104544,0.098982506,-0.04299188,0.016784217,0.08015622
0.059168577,0.0025189582,0.0055275294,-0.035910398,0.051747773,-0.03617066,-0.022531705,0.04356974,-0.0023294527,0.03979371
0.059142437,0.041445002,-0.10912921,0.05646587,-0.05689408,0.068245895,-0.032220226,-0.060730193,-0.0008325322,-0.0129426485
0.059165318,0.0835886,-0.014807776,-0.09471819,-0.05668104,0.034498792,0.050957523,-0.022667509,-0.011692724,0.09210894
0.05916496,0.0722302,0.049310908,0.07313664,0.009286559,0.00298895,0.04386384,0.018674497,-0.010562968,-0.023088763
0.0591649,-0.034538444,0.03281468,0.053470477,0.037828166,0.07716954,0.071467154,-0.06938276,-0.0050013145,0.09271604
0.05915563,0.03239269,-0.004752901,-0.011790491,0.024858054,0.0013773737,0.023225237,-0.0546911,-0.009242194,0.035136398
0.059133697,-0.06487034,0.005871092,-0.06311346,-0.056416865,-0.07547195,-0.0871634,-0.05227822,0.081854664,-0.008487752
0.059153747,-0.095629685,0.060326304,-0.027942866,-0.10911952,0.09734791,0.07974265,-0.052922785,0.04177172,0.03391906
0.059160147,-0.073897496,0.03609491,-0.083216555,0.014224587,0.008889438,0.042799424,0.04447205,0.040278297,0.03912993
0.059136003,0.017484287,-0.039440725,0.10740945,-0.06559591,-0.03588843,0.035076775,-0.09933701,0.044516686,0.03792931
0.059148766,0.035138275,0.010507301,-0.024669262,0.046620782,0.0177985,0.016327627,-0.04299217,-0.009057909,0.039662268
0.059150655,0.107706524,0.007911609,-0.014521573,-0.08105033,-0.035317086,-0.02912826,-0.058886755,0.059730172,0.07667282
0.059147287,-0.13114935,-0.09240876,-0.015535304,-0.017155737,-0.093664356,0.03463397,0.016217003,-0.09099072,0.05248117
0.05915523,0.039620623,-0.03718146,-0.036312737,-0.12747444,0.07110772,0.034274243,0.012510355,-0.08972526,-0.052245487
0.059147324,-0.050701763,-0.062315118,-0.044485793,-0.011167759,-0.02380062,0.026327506,-0.067538135,-0.029572716,0.019241951
0.059145004,-0.024946366,-0.0055345404,-0.09512129,-0.015768038,-0.06500221,-0.085961066,-0.083293766,-0.009684003,-0.0292275
0.059152756,-0.049996495,-0.07664593,0.030017093,0.109196804,-0.014135533,0.028664175,-0.018191352,0.07158168,0.0070888386
