Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9,Component 10
0.059286837,-0.12069036,0.0061487774,0.15064433,0.033639725,-0.08553021,-0.026277177,-0.05950497,-0.09702848,-0.04811129
0.059323855,0.0109215975,0.022569247,-0.11162659,0.0060141473,0.081441015,0.021877967,0.008244501,0.06417444,-0.121412896
0.05938423,-0.035410106,-0.013910131,-0.07060394,0.07120344,0.027004417,0.034034155,0.092540145,-0.063216455,0.015432814
0.059412133,0.051531687,0.007519345,-0.04663107,-0.019394765,-0.010588659,-0.014146256,-0.002470678,0.007805102,-0.040555175
0.05944283,-0.029849077,-0.058363564,-0.018082056,-0.042752,-0.067498766,0.018692987,0.001595186,-0.090305045,-0.05129972
0.05947292,0.09213045,-0.045594238,0.111463875,-0.0008443439,-0.09173267,-0.02359208,0.035159264,0.013739187,-0.03736414
0.059521906,0.01086819,0.03449266,0.056776103,-0.09100147,0.012782693,-0.06711985,-0.01573041,0.0465132,0.042415705
0.05955796,0.15902792,0.10663407,0.01610766,-0.06928085,0.0043078675,0.014046886,-0.06328294,-0.050503265,-0.039897688
0.059600923,0.025090374,-0.031690493,0.04536719,0.034433518,-0.084228374,-0.08509553,0.025838263,0.047687847,-0.063870065
0.059641216,-0.038015272,0.023244677,0.057069056,0.06727235,-0.07326909,-0.06039685,0.011353841,0.051679064,-0.14455082
0.05968358,0.018786162,0.0066587855,-0.053930715,-0.0076961424,0.029167155,-0.019734617,-0.019873865,-0.08214512,-0.064747244
0.059741028,-0.022103366,-0.030224973,-0.011476584,0.022635587,0.07579377,-0.015395244,0.03802656,0.029657844,-0.0713911
0.05978067,0.0044151745,-0.08093832,0.052753154,-0.057264812,0.051507644,0.10126392,-0.020214172,-0.08596031,-0.03001653
0.05980577,0.006971983,0.03502497,0.054269705,-0.044274233,0.04564241,0.094851606,0.028754985,0.043952577,0.0130437575
0.05985275,-0.02463487,-0.005418052,0.20516345,-0.062398616,0.06000752,-0.0024140882,0.033208147,0.020274235,-0.046790008
0.059895467,0.13691026,0.06913372,-0.061294038,0.009007953,0.08614209,0.008885567,0.019897696,0.009352252,-0.09046471
0.059915613,-0.09320299,-0.040591255,0.05393147,0.11165233,0.005467209,0.10319742,-0.066061154,0.03624538,-0.14901109
